xx,xy,yx,yy
19.71,-22.28,-18.51,-23.53
10.1,-22.65,-19.1,-13.76
0.56,-22.97,-19.72,-3.98
-8.99,-23.24,-20.24,5.8
-18.51,-23.53,-20.79,15.56
