xx,xy,yx,yy
18.73,-22.42,-19.38,-24.5
9.29,-22.99,-20.13,-14.64
-0.29,-23.48,-20.94,-4.9
-9.84,-24,-21.75,4.93
-19.38,-24.5,-22.43,14.73
