,x,y,z
0,-14.398670005330633,22.708077070409324,0.92
1,14.616747807606114,16.547027716548165,0.53
2,29.280657143905444,25.458018849794414,3.19
3,5.858641376478161,14.580184626458063,1.68
4,3.257648679773652,10.580867560796754,1.98
5,29.360778047112085,9.395778014815331,2.78
6,20.1942600285821,5.569311313540492,1.86
7,-9.475344350466688,-1.917735900864514,1.82
8,-6.10134313747241,-3.842577664416307,1.69
9,3.8283118695914773,-3.269819913974562,3.88
10,-12.859405633466492,-8.465249110694774,2.35
11,4.94080793795791,-15.858042683606072,1.98
12,2.360664991641153,-20.78712600371458,3.19
