xx,xy,yx,yy
20.98,-17.75,-17.31,-18.98
11.44,-18.08,-17.86,-9.2
1.84,-18.39,-18.43,0.6
-7.73,-18.69,-19.01,10.41
-17.31,-18.98,-19.56,20.26
