,x,y,z
0,2.375509071558794,44.99000176240167,0.92
1,30.799573207499442,36.50910688061398,0.53
2,46.13433777649431,44.20852215799052,3.19
3,21.91137842372217,35.25495637703218,1.68
4,18.996337259295952,31.47841894047728,1.98
5,44.918878371046546,28.19213497380605,2.78
6,35.473635177183155,25.117353516730233,1.86
7,5.296881463909099,20.04735989460399,1.82
8,8.504667056278727,17.856695248112917,1.69
9,18.448170397650344,17.626822891942165,3.88
10,1.3958260805594565,13.794075405950142,2.35
11,18.541881548316546,4.989884250790157,1.98
12,15.57264238788593,0.28492741696422674,3.19
