xx,xy,yx,yy
13.54,-21.87,-23.05,-9.58
4.42,-18.88,-20.28,-0.23
-4.72,-15.78,-17.44,9.08
-13.88,-12.67,-17.44,9.08
-23.05,-9.58,-14.58,18.42
