,x,y,z
0,-16.601690155563453,7.145126197027459,3.12
1,-5.29633998105108,-3.408525182076037,2.89
2,6.401399884588827,-3.651593147507114,1.56
3,-7.60272071724841,-20.180961138123028,1.82
4,15.168685866764385,-1.5360089476351497,2.4
5,8.528613900662222,-19.600234485559106,3.5
6,13.875235662418461,-19.857403178666736,1.68
7,22.25636344734361,-23.611280780927594,2.6
8,-20.555888429781398,-29.16645757465857,3.44
9,-5.240855815901481,-29.243112879723114,0.9
10,9.979203683461257,-28.611615582929204,2.55
11,21.78489322625431,-26.861960068495968,1.49
