x,y,z
-18.78,21.5,0.92
10.09,14.69,0.53
24.95,23.27,3.19
1.29,12.92,1.68
-1.4,8.98,1.98
24.67,7.21,2.78
15.42,3.59,1.86
-14.41,-3.23,1.82
-11.08,-5.23,1.69
-1.14,-4.88,3.88
-17.94,-9.7,2.35
-0.31,-17.49,1.98
-3,-22.36,3.19
