,x,y,z
0,6.975656671257186,28.61117814589226,2.91
1,23.108436430177804,27.673565619226196,1.81
2,7.848350998764609,34.60031035437926,1.79
3,32.14222252377328,41.798143801075064,0.52
4,31.21941434225973,38.19605759164979,2.15
5,37.41220516139141,24.589509834394168,1.52
6,8.411290210230248,23.037404169332422,1.42
7,9.060542973797727,18.571648819002533,0.05
8,11.460674022740973,9.635532719270023,1.36
9,23.114197338947267,7.989357054695839,2.05
10,46.157073664267934,17.764982387940588,2.79
11,5.840703277343954,-1.1134174071786855,1.38
