x,y,z
-15.44,5.26,2.91
0.72,5.27,1.81
-14.92,11.29,1.79
8.91,19.9,0.52
8.2,16.25,2.15
15.18,3.03,1.52
-13.68,-0.22,1.42
-12.77,-4.64,0.05
-9.85,-13.42,1.36
1.88,-14.38,2.05
24.31,-3.27,2.79
-14.83,-24.48,1.38
