xx,xy,yx,yy
17.57,-22.44,-20.71,-23.71
8.01,-22.8,-21.32,-13.92
-1.54,-23.06,-21.88,-4.14
-11.12,-23.4,-22.45,5.65
-20.71,-23.71,-23.02,15.46
